record_id	feature_a	feature_b	feature_c	binary_target
record-001	-3	-3	2.5	0
record-002	3	-3	2.5	1
record-003	-4	2	4.0	0
record-004	4	2	4.0	1
record-005	-5	7	5.5	0
record-006	5	7	5.5	1
record-007	-6	-5	1.5	0
record-008	6	-5	1.5	1
record-009	-7	0	3.0	0
record-010	7	0	3.0	1
record-011	-8	5	4.5	0
record-012	8	5	4.5	1
record-013	-9	-7	6.0	0
record-014	9	-7	6.0	1
record-015	-10	-2	2.0	0
record-016	10	-2	2.0	1
record-017	-11	3	3.5	0
record-018	11	3	3.5	1
record-019	-12	8	5.0	0
record-020	12	8	5.0	1
record-021	-13	-4	1.0	0
record-022	13	-4	1.0	1
record-023	-14	1	2.5	0
record-024	14	1	2.5	1
