record_id	measure_x	measure_y	feature_d	continuous_target
record-001	3.75	-3	-1.25	28.3125
record-002	3.75	-3	-1.25	28.3125
record-003	5.5	8	0.0	27.25
record-004	5.5	8	0.0	27.25
record-005	2.5	-10	1.25	31.0625
record-006	2.5	-10	1.25	31.0625
record-007	4.25	1	2.5	31.75
record-008	4.25	1	2.5	31.75
record-009	6.0	12	-2.5	22.875
record-010	6.0	12	-2.5	22.875
record-011	3.0	-6	-1.25	26.6875
record-012	3.0	-6	-1.25	26.6875
record-013	4.75	5	0.0	38.375
record-014	4.75	5	0.0	38.375
record-015	6.5	-13	1.25	33.5625
record-016	6.5	-13	1.25	33.5625
record-017	3.5	-2	2.5	30.125
record-018	3.5	-2	2.5	30.125
record-019	5.25	9	-2.5	21.25
record-020	5.25	9	-2.5	21.25
record-021	2.25	-9	-1.25	26.8125
record-022	2.25	-9	-1.25	26.8125
record-023	4.0	2	0.0	25.75
record-024	4.0	2	0.0	25.75
