record_id	feature_a	feature_b	feature_c	binary_target	measure_x	measure_y	feature_d	continuous_target
record-001	-3	-3	2.5	0	3.75	-3	-1.25	28.3125
record-002	3	-3	2.5	1	3.75	-3	-1.25	28.3125
record-003	-4	2	4.0	0	5.5	8	0.0	27.25
record-004	4	2	4.0	1	5.5	8	0.0	27.25
record-005	-5	7	5.5	0	2.5	-10	1.25	31.0625
record-006	5	7	5.5	1	2.5	-10	1.25	31.0625
record-007	-6	-5	1.5	0	4.25	1	2.5	31.75
record-008	6	-5	1.5	1	4.25	1	2.5	31.75
record-009	-7	0	3.0	0	6.0	12	-2.5	22.875
record-010	7	0	3.0	1	6.0	12	-2.5	22.875
record-011	-8	5	4.5	0	3.0	-6	-1.25	26.6875
record-012	8	5	4.5	1	3.0	-6	-1.25	26.6875
record-013	-9	-7	6.0	0	4.75	5	0.0	38.375
record-014	9	-7	6.0	1	4.75	5	0.0	38.375
record-015	-10	-2	2.0	0	6.5	-13	1.25	33.5625
record-016	10	-2	2.0	1	6.5	-13	1.25	33.5625
record-017	-11	3	3.5	0	3.5	-2	2.5	30.125
record-018	11	3	3.5	1	3.5	-2	2.5	30.125
record-019	-12	8	5.0	0	5.25	9	-2.5	21.25
record-020	12	8	5.0	1	5.25	9	-2.5	21.25
record-021	-13	-4	1.0	0	2.25	-9	-1.25	26.8125
record-022	13	-4	1.0	1	2.25	-9	-1.25	26.8125
record-023	-14	1	2.5	0	4.0	2	0.0	25.75
record-024	14	1	2.5	1	4.0	2	0.0	25.75
